RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
"466999","20241106","M","30대","전라남도","300만원 미만","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다"
"467666","20241106","M","20대","부산광역시","500이상700만원 미만","조금 커졌다","비슷하다","비슷하다","조금 작아졌다","비슷하다","비슷하다","비슷하다","비슷하다"
"468937","20241106","M","20대","충청남도","무응답","비슷하다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","비슷하다","비슷하다"
"469020","20241106","M","20대","서울특별시","500이상700만원 미만","비슷하다","조금 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","조금 커졌다","조금 커졌다","매우 커졌다"
"469290","20241106","F","20대","전라남도","300이상500만원 미만","매우 커졌다","조금 커졌다","조금 작아졌다","비슷하다","조금 작아졌다","매우 커졌다","비슷하다","비슷하다"
"470073","20241106","F","20대","경기도","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"470227","20241106","M","20대","경기도","300이상500만원 미만","매우 작아졌다","매우 커졌다","비슷하다","조금 커졌다","매우 작아졌다","비슷하다","비슷하다","조금 커졌다"
"470256","20241106","F","20대","서울특별시","무응답","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","비슷하다","조금 커졌다"
"471733","20241106","F","20대","경상북도","무응답","비슷하다","조금 작아졌다","매우 작아졌다","비슷하다","매우 작아졌다","매우 작아졌다","조금 작아졌다","비슷하다"
"471779","20241106","M","20대","서울특별시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"475129","20241106","F","20대","세종특별자치시","무응답","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","비슷하다","매우 커졌다"
"478051","20241106","M","20대","부산광역시","무응답","비슷하다","비슷하다","매우 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","비슷하다","조금 작아졌다"
"478565","20241106","F","30대","경기도","700만원 이상","조금 커졌다","조금 커졌다","매우 작아졌다","조금 커졌다","매우 커졌다","비슷하다","비슷하다","매우 작아졌다"
"478849","20241106","F","20대","세종특별자치시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","조금 작아졌다"
"478957","20241106","M","20대","서울특별시","700만원 이상","조금 작아졌다","조금 작아졌다","조금 커졌다","조금 작아졌다","조금 커졌다","비슷하다","조금 커졌다","매우 커졌다"
"478962","20241106","M","20대","서울특별시","700만원 이상","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","조금 커졌다"
"479088","20241106","M","20대","충청북도","무응답","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다"
"479148","20241106","M","20대","서울특별시","무응답","조금 작아졌다","매우 커졌다","매우 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","조금 작아졌다"
"479190","20241106","F","20대","울산광역시","500이상700만원 미만","조금 커졌다","조금 작아졌다","조금 커졌다","조금 커졌다","조금 작아졌다","비슷하다","매우 커졌다","비슷하다"
"479359","20241106","F","30대","전라남도","500이상700만원 미만","비슷하다","비슷하다","조금 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","조금 커졌다","비슷하다"
"479509","20241106","F","20대","부산광역시","300이상500만원 미만","조금 커졌다","비슷하다","조금 커졌다","비슷하다","조금 커졌다","비슷하다","비슷하다","비슷하다"
"53322253","20241106","F","50대","서울특별시","700만원 이상","비슷하다","조금 커졌다","비슷하다","비슷하다","매우 커졌다","조금 커졌다","조금 커졌다","매우 커졌다"
"53322293","20241106","F","40대","서울특별시","무응답","조금 작아졌다","비슷하다","조금 작아졌다","조금 작아졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 작아졌다"
"53322306","20241106","M","50대","서울특별시","300만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
